Origin,Destination,Price
Vierzon-Ville,St-Amand-Montrond-Orval,16.5
St-Gaudens,Toulouse-Matabiau,16.5
Caussade,Toulouse-Matabiau,16.5
St-Astier,Brive-la-Gaillarde,16.5
Orléans,Amboise,16.5
Salbris,Châteauneuf-sur-Cher,16.5
Caen,Sées,16.5
Clermont-La Pardieu,St-Georges-d'Aurac,16.6
Pont-Ste-Maxence,St-Quentin,16.6
Nogent-sur-Vernisson,La Charité,16.6
Libourne,Périgueux,16.6
Paris-St-Lazare,Gaillon-Aubevoye,16.6
Brive-la-Gaillarde,Ussel,16.6
Val-de-Reuil,Bréauté-Beuzeville,16.6
Gien,Fourchambault,16.8
Bordeaux-St-Jean,Mussidan,16.8
St-Georges-d'Aurac,La Bastide-St-Laurent-les-Bains,16.9
Elne,Narbonne,17.0
Uzerche,Souillac,17.0
Limoges-Bénédictins,St-Sébastien,17.0
Nîmes,Sète,17.0
Bordeaux-St-Jean,Marmande,17.0
Châteauroux,La Souterraine,17.0
St-Just-en-Chaussée,Abbeville,17.1
Clermont-Ferrand,St-Georges-d'Aurac,17.1
Villefort,Nîmes,17.1
Montargis,Pouilly-sur-Loire,17.2
Luçon,Rochefort,17.2
La Rochelle-Ville,Pons,17.2
Amiens,Étaples-Le Touquet,17.2
Sées,Écommoy,17.2
Vendeuvre-Jort,Langres,17.2
Troyes,Chaumont,17.2
Compiègne,Busigny,17.4
Lyon-Vaise,Roanne,17.4
Coarraze-Nay,Montréjeau-Gourdan-Polignan,17.4
Roanne,Lyon-Part-Dieu,17.4
Pau,Lannemezan,17.4
Roanne,Lyon-Perrache-Voyageurs,17.4
Les Aubrais-Orléans,Vierzon-Ville,17.5
Tergnier,Maubeuge,17.5
Gourdon,Caussade,17.5
Le Mans,Tours,17.7
Le Mans,St-Pierre-des-Corps,17.7
Noyon,Cambrai,17.7
Argentan,Le Mans,17.7
Périgueux,Limoges-Bénédictins,17.7
Gien,Nevers,17.7
Terrasson-Lavilledieu,Meymac,17.7
Brioude,Langogne,17.7
Vernon-Giverny,Yvetot,17.7
Orthez,Tarbes,17.8
Argentan,Villedieu-les-Poêles,17.8
Pons,Bordeaux-St-Jean,17.8
Saintes,St-André-de-Cubzac,17.8
Périgueux,Tulle,17.8
Futuroscope,St-Pierre-des-Corps,17.8
Poitiers,St-Pierre-des-Corps,17.8
Montpon-Ménestérol,Condat-le-Lardin,17.8
Avignon-Terminal TER,Marseille-St-Charles,18.0
Versailles-Chantiers,Verneuil-sur-Avre,18.0
Béziers,Carcassonne,18.0
Longueau,Étaples-Le Touquet,18.0
Hendaye,Orthez,18.0
Nevers,St-Germain-des-Fossés,18.0
Dreux,Surdon,18.0
Vierzon-Ville,Nevers,18.0
Argelès-sur-Mer,Narbonne,18.0
Évreux-Embranchement,Pont-l'Évêque,18.0
Arles,Marseille-St-Charles,18.0
Nancy-Ville,Saverne,18.0
L'Aigle,Flers,18.0
Briouze,Granville,18.1
Bayeux,Cherbourg,18.1
Oissel,Le Havre,18.1
Libourne,Niversac,18.3
Clermont-Ferrand,Langeac,18.3
Creil,St-Quentin,18.3
La Roche-sur-Yon,La Rochelle-Ville,18.3
Culmont-Chalindrey,Lure,18.3
Montréjeau-Gourdan-Polignan,Toulouse-Matabiau,18.4
Alençon,Château-du-Loir,18.4
Caen,Valognes,18.4
Collioure,Narbonne,18.5
Nice-Ville,Les Arcs-Draguignan,18.5
Carcassonne,Toulouse-Matabiau,18.5
Nogent-sur-Vernisson,Pougues-les-Eaux,18.6
Condat-le-Lardin,Meymac,18.6
Bayonne,Pau,18.6
Surdon,Écommoy,18.6
Lisieux,Lison,18.6
Chauny,Maubeuge,18.6
Langeac,Villefort,18.7
Montpon-Ménestérol,Terrasson-Lavilledieu,18.7
Niversac,Corrèze,18.7
Compiègne,Le Cateau,18.7
Châtelaillon,Jonzac,18.7
Arvant,St-Chély-d'Apcher,18.9
Vendeuvre-Jort,Culmont-Chalindrey,18.9
Bourges,Moulins-sur-Allier,18.9
Compiègne,Caudry,18.9
Arles,Montpellier-St-Roch,19.0
Angers-St-Laud,Tours,19.0
St-Just-en-Chaussée,Noyelles,19.0
Verneuil-sur-Avre,Briouze,19.0
Angers-St-Laud,St-Pierre-des-Corps,19.0
Moulins-sur-Allier,Roanne,19.0
Paris-Nord,Noyon,19.0
Toulon,St-Raphaël-Valescure,19.0
Castelnaudary,Narbonne,19.0
Avignon-Terminal TER,Montpellier-St-Roch,19.0
Argenton-sur-Creuse,Vierzon-Ville,19.0
Évreux-Embranchement,Paris-St-Lazare,19.0
Narbonne,Port-Vendres-Ville,19.0
Bourges,Montluçon-Ville,19.2
Arvant,Langogne,19.2
Rochefort,Montendre,19.2
Bernay,Bayeux,19.2
Nemours-St-Pierre,Cosne,19.2
Montargis,La Charité,19.2
Riom-Châtel-Guyon,Moulins-sur-Allier,19.5
Montpellier-St-Roch,Narbonne,19.5
Banyuls-sur-Mer,Narbonne,19.5
St-Pierre-des-Corps,Vierzon-Ville,19.8
Mussidan,Brive-la-Gaillarde,19.8
Coarraze-Nay,St-Gaudens,19.8
Paris-Nord,Paris-Est,19.8
Clermont-de-l'Oise,Abbeville,19.8
Nogent-sur-Seine,Bar-sur-Aube,19.9
Caen,Alençon,19.9
Peyrehorade,Lourdes,19.9
